identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency
908,8,4,6,2,1411.8240625
910,34,16,31,3,474.06425578703704
911,17,6,9,8,813.387224537037
912,178,43,105,73,311.6599704636808
913,209,32,86,123,12.295631213115588
914,8,4,7,1,125.93441358024693
916,18,3,10,8,243.05546604938272
917,74,16,45,29,17.638146825396824
918,96,13,78,18,573.5050933090829
919,41,10,31,10,1692.897075
920,42,7,21,21,158.4098777399849
921,87,18,47,40,278.4993330761317
922,24,8,16,8,803.0766567460317
923,31,7,30,1,1466.4814641203702
924,154,34,76,78,105.72629940922447
925,62,14,51,11,979.2322122507122
926,16,5,8,8,1.469324074074074
927,1177,30,616,561,73.8606268572316
928,128,35,126,2,525.8182336104328
929,9,4,5,4,747.8379282407408
931,69,10,41,28,465.2753354276896
932,13,6,7,6,17.658912037037037
934,766,36,543,223,133.43068219067442
935,7,3,4,3,2016.126959876543
936,436,32,264,172,296.5956387758137
937,8,2,5,3,81.69800925925927
938,11,5,7,4,2873.9638194444447
939,553,38,306,247,201.57999390275253
940,3,2,2,1,3169.0645833333333
941,15,5,9,6,234.54007222222222
942,84,13,71,13,328.56962009055763
943,236,8,142,94,105.69761489313424
944,15,7,8,7,63.06743055555555
945,310,26,165,145,99.24360839973419
947,52,7,46,6,179.34929623617126
948,865,24,480,385,151.0928854942052
949,125,30,74,51,163.17578256172837
950,15,6,6,9,66.1866512345679
951,7,4,4,3,1416.3333796296295
953,21,5,20,1,1820.360159722222
954,6,4,5,1,2661.8633333333332
955,36,8,19,17,201.05173193993505
956,14,8,9,5,3662.7956712962964
957,23,5,12,11,165.2068402777778
958,643,30,369,274,101.47780876523254
960,12,6,11,1,905.259074074074
961,27,8,13,14,159.9789392361111
962,13,5,7,6,1585.061050925926
963,321,27,181,140,37.45818552747544
965,23,6,12,11,524.300412962963
967,74,22,39,35,236.78971461408963
968,9,8,8,1,0.009583333333333333
969,18,7,10,8,337.8983541666667
970,40,12,24,16,215.0156239478114
971,47,8,38,9,206.32347222222222
972,137,42,86,51,113.88060968660965
973,35,9,20,15,352.49047222222225
974,8,4,5,3,416.02043209876547
975,30,7,29,1,1000.2683373015875
977,173,14,122,51,273.90066572300873
978,17,9,14,3,165.8156365740741
979,20,9,12,8,578.6198048941799
980,56,8,30,26,34.42490157026615
981,84,8,70,14,648.1725062003968
982,2,1,1,1,3539.999861111111
984,52,18,28,24,20.35690329218107
985,44,18,26,18,71.67786543209876
986,65,14,37,28,171.93707792207798
987,18,4,9,9,534.0666163194444
988,20,8,12,8,1165.2219965277777
989,8553,50,6105,2448,34.693236766278126
990,52,13,31,21,272.56883936202684
991,80,13,57,23,68.0100606261023
992,2,1,1,1,2594.196111111111
993,6,3,4,2,1007.9255324074074
994,11,4,6,5,422.37067361111116
995,51,8,33,18,8.579393095330595
996,22,7,21,1,940.3537423280425
997,3,2,2,1,0.45
998,28,11,18,10,53.20666666666666
1000,27,2,14,13,565.1538407512627
1001,78,31,42,36,682.1086974715098
1002,33,7,21,12,187.59056721981725
1003,20,8,11,9,117.82050925925928
1004,5,2,3,2,238.5679166666667
1005,30,8,18,12,714.9879859788359
1006,23,12,12,11,215.007702020202
1008,4,3,3,1,0.06833333333333333
1009,45,15,26,19,191.4327447530864
1012,13,4,7,6,167.6576884920635
1013,15,6,10,5,488.7423611111111
1014,31,14,16,15,368.02902146464646
1015,110,15,64,46,131.39055185185185
1017,2,1,1,1,3287.9920833333335
1018,16,6,10,6,1616.9900611111111
1020,5,2,4,1,3240.1698148148143
1021,81,7,60,21,632.7741921768708
1022,7,3,4,3,2621.3035802469135
1023,36,28,32,4,1383.5655
1024,2346,88,1253,1093,77.16022355996847
1025,16,4,8,8,99.03665972222223
1026,116,15,108,8,255.92349931182352
1027,3,2,2,1,0.7656944444444445
1028,21,7,11,10,448.6207175925926
1029,60,14,57,3,496.31852781477784
1031,7,3,3,4,82.08177469135802
1032,9,5,5,4,758.8008680555555
1033,40,3,20,20,45.18351851851852
1034,96,18,52,44,160.98987755865534
1035,2,1,1,1,3302.7506944444444
1036,61,8,54,7,582.2694062378594
1037,6,3,3,3,56.566111111111105
1038,9,4,5,4,1876.6161458333333
1039,7,2,5,2,775.2826666666666
1040,7,3,4,3,75.4991049382716
1041,82,11,42,40,157.024999524087
1042,3,2,2,1,0.26611111111111113
1043,8,3,6,2,513.5468055555556
1044,3,2,2,1,2997.921388888889
1045,57,18,30,27,702.7490313180828
1046,82,15,41,41,70.56351111111113
1047,104,13,52,52,52.391552859177864
1048,2315,154,1171,1144,96.82900862819271
1050,31,6,19,12,530.2872583435084
1051,67,12,29,38,401.17241769547326
1052,34,10,17,17,133.38208912037038
1053,54,14,27,27,161.2773202754036
1054,3,2,2,1,2232.146111111111
1056,23,5,17,6,1301.0404940476192
1057,94,18,48,46,256.8133841122869
1058,21,5,11,10,187.68237824074077
1060,54,14,47,7,705.0217351444851
1061,20,7,11,9,301.4932330246914
1062,9,7,7,2,54.85409722222222
1063,9,4,7,2,102.03421296296295
1065,8,4,6,2,31.895246913580248
1066,4,2,3,1,24.764861111111113
1067,183,7,137,46,88.66981489457544
